description,amount,note
Rent,15000,Monthly house rent
Groceries,4200,Weekly grocery shopping
Netflix subscription,649,OTT streaming service
Gym membership,1500,Monthly fitness membership
Zomato food delivery,3800,Multiple food orders
SIP Mutual Fund,5000,Monthly SIP investment
Electricity bill,1200,Monthly electricity charges
Amazon Shopping,6500,Clothes and gadgets
Movie tickets,1200,Weekend movies with family
LIC Premium,3000,Life insurance premium
Petrol,2500,Monthly fuel expenses
Coffee shops,2100,Daily coffee and snacks
Water bill,300,Monthly water charges
Phone recharge,599,Monthly mobile recharge
Online course Udemy,999,Python programming course
Dining out restaurants,2800,Weekend restaurant visits
Stock investment Zerodha,3000,Monthly stock purchase
Medicines,850,Prescription medicines
Clothing and accessories,4500,Seasonal shopping
Internet broadband,699,Monthly broadband bill
Public transport,1100,Metro and bus passes
Home maintenance,800,Minor repairs and cleaning
Swiggy orders,1900,Late night food orders
Spotify premium,119,Music streaming
Amazon Prime,299,Video streaming and delivery
Books and stationery,600,Study materials
Weekend outings,2200,Parks and entertainment
Health checkup,1500,Annual health screening
Gold savings scheme,2000,Monthly gold savings
PPF contribution,5000,Public provident fund
